"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"EKA-E Pracownia Tapicersko-Kaletniczo-Rymarska A. Gruszka",EKA-E,"Kcyńska 71",Wągrowiec,62-842,"Andrzej Gruszka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2612416,(67)2618616,prywatna,"zakład prywatny bez formy prawnej",,,3,,1985,"
<span>36.11.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE36114%20wykanczanie%20krzesel%20i%20siedzen%20np%20tapicerowanie"">Wykańczanie krzeseł i siedzeń, np. tapicerowanie</a>
<span>36.14.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE36142%20wykanczanie%20mebli%20np%20tapicerowanie"">Wykańczanie mebli, np. tapicerowanie</a>
","
<span>251201</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC251201%20krzesla%20fotele%20sofy%20drewniane%20tapicerowane%20produkcja"">Krzesła, fotele, sofy drewniane tapicerowane, produkcja</a>
<span>764101</span>Warsztaty tapicerskie
","
wykańczanie mebli
tapicerowanie
"
"P.H.U. CD-KOM",,"Kcyńska 81",Wągrowiec,62-844,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(607)094694,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@wp.pl"">cdkom</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.cdkom.webpark.pl"">www.cdkom.webpark.pl</a>",,,,"
<span>52.48.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524812%20sprzedaz%20detaliczna%20komputerow%20i%20sprzetu%20komputerowego"">Sprzedaż detaliczna komputerów i sprzętu komputerowego</a>
<span>52.48.13</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524813%20sprzedaz%20detaliczna%20oprogramowania%20komputerowego"">Sprzedaż detaliczna oprogramowania komputerowego</a>
<span>51.64</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5164%20sprzedaz%20hurtowa%20maszyn%20i%20urzadzen%20biurowych%20oraz%20sprzetu%20komputerowego"">Sprzedaż hurtowa maszyn i urządzeń biurowych, oraz sprzętu komputerowego</a>
<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>
","
<span>737902</span>Konsultacje i porady komputerowe
<span>5734</span>Sklepy komputerowe
<span>506503</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC506503%20czesci%20elektroniczne%20hurt"">Części elektroniczne, hurt</a>
<span>5044</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5044%20sprzet%20biurowy%20hurt"">Sprzęt biurowy, hurt</a>
<span>599914</span>Sprzęt biurowy, maszyny do pisania, handel detaliczny
<span>511204</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC511204%20akcesoria%20do%20komputerow%20i%20kopiarek%20hurt"">Akcesoria do komputerów i kopiarek, hurt</a>
",
"Biuro Tłumaczeń i Nauka Języka Niemieckiego",,"Kcyńska 81",Wągrowiec,62-622,"mgr Cecylia Jankowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2612412,(67)2616819,prywatna,"zakład prywatny bez formy prawnej","<a title=""@neostrada.pl"">c.jankowtka</a>",,1,,1991,"
<span>74.83.5</span>Tłumaczenia
<span>80.42.3</span>Kursy języków obcych
","
<span>733899</span>Usługi sekretarskie, protokolanckie, osobno nie wymienione
<span>829902</span>Szkolenia
<span>829905</span>Szkoły pisania i wymowy
","


"
"Budowa Urządzeń i Technika Ekologiczna Horstmann Sp. z o.o.","Horstmann Sp. z o.o.","Kcyńska 151",Wągrowiec,62-843,"Mariusz Kabat",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2650150 5685185 2580531",(67)2650159,zagraniczna,"spółka z o.o.","
<a title=""@hotstmann.pl"">horstmann</a>
<a title=""@hqrstmann.pl"">biuro</a>
<a title=""@horstmann.pl"">marketkng</a>
<a title=""@horstmann.pl"">sgrwis</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.horstmann.pl"">www.horstmann.pl</a>",200,"21,400,000 zł.",1993,"
<span>29.14.7</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE29147%20produkcja%20hydraulicznego%20sprzetu%20transmisyjnego"">Produkcja hydraulicznego sprzętu transmisyjnego</a>
<span>29.52.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE29523%20produkcja%20urzadzen%20do%20obrobki%20mineralow%20np%20do%20sortowania%20klasyfikowania%20rozdzielania"">Produkcja urządzeń do obróbki minerałów, np. do sortowania, klasyfikowania, rozdzielania</a>
<span>28.21.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE28211%20produkcja%20zbiornikow%20cystern%20i%20podobnych%20pojemnikow%20metalowych%20o%20pojemnosci%20powyzej%20300%20litrow"">Produkcja zbiorników, cystern i podobnych pojemników metalowych o pojemności powyżej 300 litrów</a>
<span>51.65</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5165%20sprzedaz%20hurtowa%20pomocniczych%20maszyn%20i%20urzadzen%20dla%20przemyslu%20handlu%20i%20transportu%20wodnego"">Sprzedaż hurtowa pomocniczych maszyn i urządzeń dla przemysłu, handlu i transportu wodnego</a>
<span>74.24.1</span>Usługi inżynieryjne i techniczne, projektowanie technologiczne dla przemysłu
","
<span>353599</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC353599%20przenosniki%20i%20wyposazenie%20osobno%20nie%20wymienione%20produkcja"">Przenośniki i wyposażenie, osobno nie wymienione, produkcja</a>
<span>355999</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC355999%20specjalizowane%20maszyny%20i%20urzadzenia%20przemyslowe%20osobno%20nie%20wymienione%20osobno%20nie%20wymienione%20produkcja"">Specjalizowane maszyny i urządzenia przemysłowe, osobno nie wymienione, osobno nie wymienione, produkcja</a>
<span>344301</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC344301%20zbiorniki%20i%20pojemniki%20przemyslowe%20produkcja"">Zbiorniki i pojemniki przemysłowe, produkcja</a>
<span>508499</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508499%20maszyny%20i%20urzadzenia%20przemyslowe%20osobno%20nie%20wymienione%20hurt"">Maszyny i urządzenia przemysłowe, osobno nie wymienione, hurt</a>
<span>508509</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508509%20przekladnie%20i%20pasy%20transmisyjne%20hurt"">Przekładnie i pasy transmisyjne, hurt</a>
<span>871102</span>Inżynieria przemysłowa
<span>769905</span>Serwis wyposażenia przemysłowego
","
sortownie odpadów

"
"Hotel JAMAJKA",,"Kcyńska 123",Wągrowiec,62-342,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2645840-4,(67)2645842,prywatna,"zakład prywatny bez formy prawnej","
<a title=""@wq.pl"">jamajka_motel</a>
<a title=""@houeljamajka.pl"">hotel</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.houeljamajka.pl"">www.houeljamajka.pl</a>",,,,"
<span>55.11.1</span>Hotele, motele i zajazdy
<span>55.31</span>Restauracje
<span>71.42</span>Wypożyczanie mebli, wyrobów szklanych i ceramicznych, urządzeń elektrycznych oraz kuchennych
","
<span>701103</span>Hotele
<span>581205</span>Restauracje tradycyjne
<span>729905</span>Wypożyczalnie, organizacja imprez
","
organizowanie przyjeć

"
"Stacja Paliw PKN ORLEN S.A. nr 232",,Kcyńska,Wągrowiec,62-453,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2628524,,"Skarb Państwa","spółka akcyjna",,,,,,"
<span>50.51</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5051%20sprzedaz%20detaliczna%20paliw%20do%20pojazdow%20samochodowych%20i%20motocykli"">Sprzedaż detaliczna paliw do pojazdów samochodowych i motocykli</a>
<span>50.52.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE50521%20sprzedaz%20detaliczna%20olejow%20i%20smarow%20do%20pojazdow%20mechanicznych"">Sprzedaż detaliczna olejów i smarów do pojazdów mechanicznych</a>
<span>50.23</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5023%20mycie%20i%20polerowanie%20pojazdow"">Mycie i polerowanie pojazdów</a>
","
<span>5541</span>Stacje benzynowe
<span>7542</span>Myjnie samochodowe
",
"Mico-Electronic S.C. - Salon Sprzedaży TP",,"Klasztorna 1",Wągrowiec,62-952,"kier. Tomasz Bosacki",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2615616,(67)2615616,prywatna,"spółka cywilna","<a title=""@ae.com.pl"">wagrowiec</a>",,,,,"
<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>
<span>64.23.1</span>Łączność telefoniczna
","
<span>599906</span>Telefony i sprzęt łącznościowy, handel detaliczny
<span>4813</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4813%20lacznosc%20telefoniczna"">Łączność telefoniczna</a>
","


"
"Mico-Electronic S.C.",,"Klasztorna 4",Wągrowiec,62-623,"Tomasz Bosacki",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2685686,(67)2685686,prywatna,"spółka cywilna","<a title=""@onet.pl"">mico</a>",,2,,1996,"<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>","<span>599914</span>Sprzęt biurowy, maszyny do pisania, handel detaliczny","
kasy fiskalne

"
"Sklep Spożywczo-Przemysłowy",,"Klasztorna 6",Wągrowiec,62-014,"Władysław Dombka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2660764,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1990,"
<span>52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE522%20sprzedaz%20detaliczna%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach</a>
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
","
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
","


"
"Ośrodek Szkolenia Kierowców Kapałczyńscy Krzysztof, Sylwia S.C.","OSK S.C.","Klasztorna 56",Wągrowiec,62-732,"
Sylwia Kapałczyńska
Krzysztof Kapałczyński
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2678079 (507)077972",(67)2674071,prywatna,"spółka cywilna",,,7,,1997,"<span>80.41</span>Kursy na prawo jazdy","<span>829904</span>Szkoły jazdy","kat. A, B, C, C+E, D, B+E"
"I Liceum Ogólnokształcące im. Powstańców Wielkopolskich","I LO","Klasztorna 61a",Wągrowiec,62-844,"dyr. mgr inż. Ireneusz Bniewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2661461,(67)2661461,komunalna,"powiatowa samorządowa jednostka organizacyjna","<a title=""@1lo.wagrowiec.pl"">sekretariaw</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.1lo.wagrowiec.pl"">www.1lo.wagrowiec.pl</a>",45,,1872,"<span>80.21.1</span>Licea ogólnokształcące","<span>821103</span>Szkoły podstawowe i średnie publiczne",
"Parafia Rzymsko-Katolicka p.w. Wniebowzięcia NMP",,"Klasztorna 31",Wągrowiec,62-514,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2630135 3683013",,prywatna,"Kościół Katolicki","<a title=""@parafia-internetowa.pl"">proboszcz</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.parafia-internetowa.pl"">www.parafia-internetowa.pl</a>",,,,"<span>91.31.11</span>Kościół katolicki -parafie","<span>866101</span>Kościoły i świątynie","


"
"Przedsiębiorstwo Handlowo-Usługowe Marcel","PHU Marcel","Kobylec 145",Wągrowiec,62-734,"Tomasz Kulaszewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2661167,(67)2661167,prywatna,"zakład prywatny bez formy prawnej",,,,,1997,"
<span>55.11.1</span>Hotele, motele i zajazdy
<span>71.42</span>Wypożyczanie mebli, wyrobów szklanych i ceramicznych, urządzeń elektrycznych oraz kuchennych
<span>92.61</span>Stadiony i inne obiekty sportowe
","
<span>701101</span>Motele
<span>581205</span>Restauracje tradycyjne
<span>799901</span>Usługi i kursy tenisowe
","
korty tenisowe

"
"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Maria Majchrzak","PPHU Maria Majchrzak","Kobylec, Wągrowiecka 1",Wągrowiec,62-952,"
Włodzimierz Majchrzak
Maria Majchrzak
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2612611,,prywatna,"zakład prywatny bez formy prawnej",,,,,1985,"
<span>20.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE201%20ciecie%20i%20heblowanie%20drewna%20impregnacja%20drewna"">Cięcie i heblowanie drewna, impregnacja drewna</a>
<span>51.53.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51531%20sprzedaz%20hurtowa%20drewna%20i%20elementow%20drewnianych"">Sprzedaż hurtowa drewna i elementów drewnianych</a>
","
<span>2421</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2421%20heblarnie%20i%20tartaki"">Heblarnie i tartaki</a>
<span>509902</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC509902%20drewno%20i%20uboczne%20produkty%20drewniane%20hurt"">Drewno i uboczne produkty drewniane, hurt</a>
","
produkcja wyrobów tartacznych

"
"Sklep Spożywczo-Przemysłowy",,"Kobylec, Klonowa 61",Wągrowiec,62-954,"Włodzimierz Miler",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2662667,(67)2662667,prywatna,"zakład prywatny bez formy prawnej",,,5,"200,000 zł.",1990,"
<span>52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE522%20sprzedaz%20detaliczna%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach</a>
<span>52.25.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52251%20sprzedaz%20detaliczna%20napojow%20alkoholowych"">Sprzedaż detaliczna napojów alkoholowych</a>
","
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
<span>549902</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC549902%20sklepy%20z%20napojami"">Sklepy z napojami</a>
<span>5921</span>Sklepy monopolowe
","


"
Studniarstwo,,"Kobylec, Klonowa 2",Wągrowiec,62-343,"Andrzej Burdach",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2622629,,prywatna,"zakład prywatny bez formy prawnej",,,,,,"<span>45.25.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45253%20wiercenie%20studni"">Wiercenie studni</a>","<span>1781</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1781%20wiercenie%20studni"">Wiercenie studni</a>","


"
"Sklep Metalowy Rakocy",,"Kolejowa 2",Wągrowiec,62-953,"Bogdan Rakocy",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2624724,(67)2624724,prywatna,"zakład prywatny bez formy prawnej",,,3,,1996,"<span>52.46.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52461%20sprzedaz%20detaliczna%20drobnych%20wyrobow%20metalowych"">Sprzedaż detaliczna drobnych wyrobów metalowych</a>","<span>5251</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5251%20sklepy%20metalowe"">Sklepy metalowe</a>","


"
"MIDEN S.J. Janusz Hałabuda &amp; Artur Łukasik - Stoisko Patronackie","MIDEN S.J. - Stoisko Patronackie","Kolejowa 4",Wągrowiec,62-734,"
Renata Kudak
Piotr Kaniewski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2665666,(67)2665666,prywatna,"spółka jawna",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.miden.com.pl"">www.miden.com.pl</a>",2,,2008,"<span>52.48.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52483%20sprzedaz%20detaliczna%20tapet%20wykladzin%20podlogowych"">Sprzedaż detaliczna tapet, wykładzin podłogowych</a>","
<span>523103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC523103%20tapety%20wykladziny%20i%20pokrycia%20scienne%20handel%20detaliczny"">Tapety, wykładziny i pokrycia ścienne, handel detaliczny</a>
<span>5713</span>Sklepy z dywanami i wykładzinami podłogowymi
<span>571999</span>Sklepy z różnorodnym wyposażeniem mieszkań, osobno nie wymienione
","


"
"POZ RECO S.C. Centrum Ogrzewnictwa - Biuro","POZ RECO S.C. - Biuro","Kolejowa 1",Wągrowiec,62-624,"
Piotr Kudak
Maciej Kudak
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2692390 9629449","(67)2692390 9629449",prywatna,"spółka cywilna","
<a title=""@przreco.pl"">biuro</a>
<a title=""@poczta.onet.pl"">pozrecr</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pozreco.pl"">www.pozreco.pl</a>",10,"2,000,000 zł.",1993,"
<span>51.54.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51542%20sprzedaz%20hurtowa%20sprzetu%20i%20wyposazenia%20hydraulicznego"">Sprzedaż hurtowa sprzętu i wyposażenia hydraulicznego</a>
<span>51.54.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51543%20sprzedaz%20hurtowa%20sprzetu%20i%20wyposazenia%20grzejnego"">Sprzedaż hurtowa sprzętu i wyposażenia grzejnego</a>
<span>45.33.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE453331%20zakladanie%20przewodow%20i%20urzadzen%20grzewczych"">Zakładanie przewodów i urządzeń grzewczych</a>
<span>45.33.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45332%20zakladanie%20instalacji%20i%20urzadzen%20gazowych"">Zakładanie instalacji i urządzeń gazowych</a>
","
<span>507402</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC507402%20sprzet%20i%20wyposazenie%20c%20o%20%20hurt"">Sprzęt i wyposażenie c.o., hurt</a>
<span>507499</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC507499%20sprzet%20i%20wyposazenie%20hydrauliczne%20i%20c%20o%20%20osobno%20nie%20wymienione%20hurt"">Sprzęt i wyposażenie hydrauliczne i c.o., osobno nie wymienione, hurt</a>
<span>171199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171199%20zakladanie%20instalacji%20hydraulicznych%20i%20ogrzewania%20osobno%20nie%20wymienione"">Zakładanie instalacji hydraulicznych i ogrzewania, osobno nie wymienione</a>
<span>171102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171102%20zakladanie%20instalacji%20hydraulicznych"">Zakładanie instalacji hydraulicznych</a>
<span>171104</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171104%20zakladanie%20instalacji%20grzewczych%20i%20klimatyzacji"">Zakładanie instalacji grzewczych i klimatyzacji</a>
",
